JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460191.76947,12.682,0.048,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-9.030|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.481|KMAGSTD=9.564|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-6.363,0,1.108,Z,,9.564,,IY CEP,AAVSO,STD,0,,,
2460191.77058,11.922,0.043,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.783|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.477|KMAGSTD=9.348|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.904,0,1.108,Z,,9.348,,IY CEP,AAVSO,STD,0,,,
2460191.77174,11.137,0.055,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.619|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.089|KMAGSTD=9.164|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-6.116,0,1.108,Z,,9.164,,IY CEP,AAVSO,STD,0,,,
2460191.77314,13.913,0.064,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.657|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.193|KMAGSTD=9.786|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-5.066,0,1.108,Z,,9.786,,IY CEP,AAVSO,STD,0,,,
2460191.77435,12.694,0.049,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-9.006|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.491|KMAGSTD=9.530|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-6.327,0,1.109,Z,,9.530,,IY CEP,AAVSO,STD,0,,,
2460191.77547,11.850,0.042,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.782|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.472|KMAGSTD=9.352|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.974,0,1.109,Z,,9.352,,IY CEP,AAVSO,STD,0,,,
2460191.77664,11.146,0.054,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.637|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.099|KMAGSTD=9.172|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-6.126,0,1.110,Z,,9.172,,IY CEP,AAVSO,STD,0,,,
2460191.77803,14.006,0.068,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.653|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.221|KMAGSTD=9.754|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.970,0,1.110,Z,,9.754,,IY CEP,AAVSO,STD,0,,,
2460191.77925,12.683,0.048,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-9.008|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.498|KMAGSTD=9.525|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-6.340,0,1.111,Z,,9.525,,IY CEP,AAVSO,STD,0,,,
2460191.78037,11.895,0.043,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.754|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.425|KMAGSTD=9.371|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.901,0,1.111,Z,,9.371,,IY CEP,AAVSO,STD,0,,,
